エッヂの名無し </b>(L20 Cju5-69DX)<b><><>2026/09/09(水) 23:12:12.885 ID:1rq81VPKw<> !metadent:vvv - configured<br>!metadent:vvv - configured<br>!metadent:vvv - configured<br>!metadent:vvv - configured<br>!metadent:vvv - configured<br>!metadent:vvv:<br>!metadent:vvv:<br>!metadent:vvv:<br>!metadent:vvv:<br>!metadent:vvv:<br><br>Nintendo Direct 2026.9.9<br>https://www.youtube.com/live/avtRda5IgeY<br>※前スレ<br>Nintendo Direct 2026.9.9 ★1<br>http://bbs.eddibb.cc/test/read.cgi/liveedge/1788960604/<br>Nintendo Direct 2026.9.9 ★2<br>http://bbs.eddibb.cc/test/read.cgi/liveedge/1788962436/<br>Nintendo Direct 2026.9.9 ★3<br>http://bbs.eddibb.cc/test/read.cgi/liveedge/1788962677/<br>Nintendo Direct 2026.9.9 ★4<br>http://bbs.eddibb.cc/test/read.cgi/liveedge/1788962894/ <>Nintendo Direct 2026.9.9 ★5
エッヂの名無し </b>(L20 CjCU-6919)<b><><>2026/09/09(水) 23:12:17.288 ID:amzEmQ4pe<> ここ <>
エッヂの名無し </b>(L20 9Fk2-49LX)<b><><>2026/09/09(水) 23:12:20.746 ID:Wnw4M4uHU<> へー <>
エッヂの名無し </b>(L20 GVBP-6Ibc)<b><><>2026/09/09(水) 23:12:20.789 ID:Md36cdGq5<> 2！？ <>
エッヂの名無し </b>(L20 CjEJ-69D3)<b><><>2026/09/09(水) 23:12:20.935 ID:Af5vn8wlP<> ついにきたな <>
エッヂの名無し </b>(L20 Cj8c-69jh)<b><><>2026/09/09(水) 23:12:22.221 ID:6uPpRYz5b<> ムームーかえして <>
エッヂの名無し </b>(L20 CuAp-6BVw)<b><><>2026/09/09(水) 23:12:23.152 ID:pCrXKuMNh<> ガキもうやってねえだろ <>
エッヂの名無し </b>(L20 9FlG-49Fg)<b><><>2026/09/09(水) 23:12:24.273 ID:kFe5OukYU<> リーク漏れてたわ<br>https://pbs.twimg.com/media/GEP7RwoacAASW58.jpg <>
エッヂの名無し </b>(L20 mAhw-49kj)<b><><>2026/09/09(水) 23:12:25.242 ID:iDX7JFPVR<> ジバカスw <>
エッヂの名無し </b>(L20 34Ai-69zc)<b><><>2026/09/09(水) 23:12:25.949 ID:boFk8jMLH<> 発売日未定やん <>
エッヂの名無し </b>(L20 liA1-69jR)<b><><>2026/09/09(水) 23:12:26.045 ID:ON/lzaYXU<> あ <>
エッヂの名無し </b>(L20 Y93O-69ng)<b><><>2026/09/09(水) 23:12:26.842 ID:D8y4A949e<> レベル5さんwwwwwwwwwwwwwwwwwwwwwwwwwwwwww<br>神wwwwwwwwww <>
エッヂの名無し </b>(L20 9Fy1-6ALv)<b><><>2026/09/09(水) 23:12:27.064 ID:jQbhSGwhS<> オワコン猫ｗｗｗｗｗ <>
エッヂの名無し </b>(L10 6acA-69cr)<b><><>2026/09/09(水) 23:12:27.192 ID:e3f3kBo7k<> 死人がどんどん生き返ってる<br>ガチで逆裁あるで <>
エッヂの名無し </b>(L20 mAjT-69q1)<b><>sage<>2026/09/09(水) 23:12:27.772 ID:PMOjqSyqc<> は！ <>
エッヂの名無し </b>(L20 6biu-49kw)<b><><>2026/09/09(水) 23:12:27.809 ID:x3hLXrEm7<> ２！？ <>
エッヂの名無し </b>(L20 mAKr-6AX9)<b><><>2026/09/09(水) 23:12:27.917 ID:0pvSYBrRz<> は？ <>
エッヂの名無し </b>(L20 mAeV-49E4)<b><><>2026/09/09(水) 23:12:28.555 ID:ZDz9TbtAy<> 何年後販売や <>
エッヂの名無し </b>(L20 Clzm-6AO3)<b><><>2026/09/09(水) 23:12:29.406 ID:RLQ8ieYNL<> 10年ぶりくらいに見た <>
エッヂの名無し </b>(L20 CjRW-69jh)<b><><>2026/09/09(水) 23:12:29.525 ID:nHl8qPbZs<> レベル5頑張ってんな <>
エッヂの名無し </b>(L20 Cjfo-4AEg)<b><><>2026/09/09(水) 23:12:30.338 ID:ok17XSEZm<> ダンボール戦機出せよ <>
エッヂの名無し </b>(L20 CjV2-69wF)<b><><>2026/09/09(水) 23:12:30.599 ID:JifGAV.pq<> 発売日、未定w <>
エッヂの名無し </b>(L20 mA3q-69jp)<b><><>2026/09/09(水) 23:12:30.618 ID:E1jG65vx7<> 任天堂に倒されたやつやん <>
エッヂの名無し </b>(L20 ClpC-69Cc)<b><><>2026/09/09(水) 23:12:30.885 ID:mrc0O..z7<> レベル5ほんま覇権やな <>
エッヂの名無し </b>(L20 6aYO-69jx)<b><><>2026/09/09(水) 23:12:31.204 ID:pPgBzBbbV<> 移植定期 <>
エッヂの名無し </b>(L20 6Vi0-4AV1)<b><><>2026/09/09(水) 23:12:31.289 ID:LUVM6SDHh<> 妖怪ウォッチ2リメイクきたいあ<br>マジで嬉しい <>
エッヂの名無し </b>(L20 6bRY-6A8M)<b><><>2026/09/09(水) 23:12:31.573 ID:6o5TQx2vL<> オワコン定期 <>
エッヂの名無し </b>(L20 9Fpp-69nQ)<b><><>2026/09/09(水) 23:12:31.823 ID:lmo4Ca0Pg<> 妖怪ウォッチまだ生きてたんだ… <>
エッヂの名無し </b>(L20 CjWj-69GI)<b><><>2026/09/09(水) 23:12:32.032 ID:al/3Oz2KR<> モコキ狙い撃ちやん <>
エッヂの名無し </b>(L20 Cj4v-698r)<b><><>2026/09/09(水) 23:12:32.522 ID:e6UUQYO8v<> ぶつ森きて <>
エッヂの名無し </b>(L20 ClhJ-4APi)<b><><>2026/09/09(水) 23:12:32.618 ID:AV5Qlknh5<> 1は？ <>
エッヂの名無し </b>(L20 Cjgh-696C)<b><><>2026/09/09(水) 23:12:32.675 ID:abQbzfL0J<> エディションエディションエディション <>
